ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-03,1407.906749419236,-1125.2098687689124,4092.2773939523327,1407.906749419236,1407.906749419236,102.92004476819032,102.92004476819032,102.92004476819032,370.8670351123579,370.8670351123579,370.8670351123579,-267.94699034416755,-267.94699034416755,-267.94699034416755,0.0,0.0,0.0,1510.8267941874262
2015-01-04,1408.1554986013764,-1550.3066599362962,3931.707903187018,1408.1554986013764,1408.1554986013764,-233.64738052792225,-233.64738052792225,-233.64738052792225,130.7547662857828,130.7547662857828,130.7547662857828,-364.4021468137051,-364.4021468137051,-364.4021468137051,0.0,0.0,0.0,1174.5081180734542
2015-01-05,1408.4042477835164,-1779.0109068214379,3532.441074131484,1408.4042477835164,1408.4042477835164,-448.13296380807145,-448.13296380807145,-448.13296380807145,7.146619483113385,7.146619483113385,7.146619483113385,-455.27958329118474,-455.27958329118474,-455.27958329118474,0.0,0.0,0.0,960.2712839754449
2015-01-06,1408.6529969656567,-1666.466816871705,4070.9923287407883,1408.6529969656567,1408.6529969656567,-192.00526053424937,-192.00526053424937,-192.00526053424937,347.3575507894041,347.3575507894041,347.3575507894041,-539.3628113236535,-539.3628113236535,-539.3628113236535,0.0,0.0,0.0,1216.6477364314073
2015-01-07,1408.901746147797,-2005.989627182687,3283.354830153874,1408.901746147797,1408.901746147797,-718.390641762447,-718.390641762447,-718.390641762447,-102.82822581029113,-102.82822581029113,-102.82822581029113,-615.5624159521559,-615.5624159521559,-615.5624159521559,0.0,0.0,0.0,690.51110438535
2015-01-09,1409.3992445120773,-2048.9707122640307,3216.252556072634,1409.3992445120773,1409.3992445120773,-809.7982014109621,-809.7982014109621,-809.7982014109621,-69.05552676171364,-69.05552676171364,-69.05552676171364,-740.7426746492486,-740.7426746492486,-740.7426746492486,0.0,0.0,0.0,599.6010431011152
2015-01-10,1409.6479936942178,-1693.9455160450016,3820.957241011767,1409.6479936942178,1409.6479936942178,-417.5320631236612,-417.5320631236612,-417.5320631236612,370.8670351123548,370.8670351123548,370.8670351123548,-788.399098236016,-788.399098236016,-788.399098236016,0.0,0.0,0.0,992.1159305705567
2015-01-11,1409.8967428763578,-2155.6581294216444,3458.5357135648246,1409.8967428763578,1409.8967428763578,-694.8024334359025,-694.8024334359025,-694.8024334359025,130.7547662854402,130.7547662854402,130.7547662854402,-825.5571997213427,-825.5571997213427,-825.5571997213427,0.0,0.0,0.0,715.0943094404554
2015-01-13,1410.3942412406384,-1729.055443955645,3697.6326378934805,1410.3942412406384,1410.3942412406384,-520.7076918962604,-520.7076918962604,-520.7076918962604,347.35755078934875,347.35755078934875,347.35755078934875,-868.0652426856091,-868.0652426856091,-868.0652426856091,0.0,0.0,0.0,889.686549344378
2015-01-14,1410.6429904227787,-2297.629386408338,3217.100733821289,1410.6429904227787,1410.6429904227787,-976.6478881288102,-976.6478881288102,-976.6478881288102,-102.82822581048289,-102.82822581048289,-102.82822581048289,-873.819662318327,-873.819662318327,-873.819662318327,0.0,0.0,0.0,433.99510229396844
2015-01-15,1410.891739604919,-3050.89039226057,2624.6978393341587,1410.891739604919,1410.891739604919,-1554.1204676069553,-1554.1204676069553,-1554.1204676069553,-684.242219098964,-684.242219098964,-684.242219098964,-869.8782485079914,-869.8782485079914,-869.8782485079914,0.0,0.0,0.0,-143.2287280020364
2015-01-16,1411.1404887870592,-1989.7706381348828,3216.4806853920372,1411.1404887870592,1411.1404887870592,-926.0360102784655,-926.0360102784655,-926.0360102784655,-69.05552676094818,-69.05552676094818,-69.05552676094818,-856.9804835175173,-856.9804835175173,-856.9804835175173,0.0,0.0,0.0,485.10447850859373
2015-01-18,1411.6379871513395,-2064.208627154902,3331.107673202068,1411.6379871513395,1411.6379871513395,-677.4520099974143,-677.4520099974143,-677.4520099974143,130.75476628610576,130.75476628610576,130.75476628610576,-808.2067762835202,-808.2067762835202,-808.2067762835202,0.0,0.0,0.0,734.1859771539253
2015-01-19,1411.88673633348,-2249.595393219961,3585.5437184350026,1411.88673633348,1411.88673633348,-767.5290313391828,-767.5290313391828,-767.5290313391828,7.146619482784215,7.146619482784215,7.146619482784215,-774.675650821967,-774.675650821967,-774.675650821967,0.0,0.0,0.0,644.3577049942973
2015-01-20,1412.13548551562,-1654.884762023015,3613.1601741546647,1412.13548551562,1412.13548551562,-389.4661667936254,-389.4661667936254,-389.4661667936254,347.3575507896273,347.3575507896273,347.3575507896273,-736.8237175832527,-736.8237175832527,-736.8237175832527,0.0,0.0,0.0,1022.6693187219946
2015-01-23,1412.881733062041,-2115.2687487064286,3359.7131382526068,1412.881733062041,1412.881733062041,-681.0542118490938,-681.0542118490938,-681.0542118490938,-69.0555267621284,-69.0555267621284,-69.0555267621284,-611.9986850869653,-611.9986850869653,-611.9986850869653,0.0,0.0,0.0,731.8275212129471
